Id2,Geography,Male; Estimate; Total population,Female; Estimate; Total population,Total; Estimate; Total population - SUMMARY INDICATORS - Median age (years),Total; Estimate; Total population - SUMMARY INDICATORS - Sex ratio (males per 100 females),Total; Estimate; Population 25 years and over - Bachelor's degree,Now married (except separated); Estimate; Population 15 years and over,Population,percent_hispanic
10180,"Abilene, TX Metro Area",79466,79644,33.5,99.8,14.9,51.4,159110,20.01696939
10420,"Akron, OH Metro Area",338864,361358,38.6,93.8,18,50.2,700222,1.17576997
10500,"Albany, GA Metro Area",77793,85923,34.4,90.5,10.5,43.8,163716,1.51420753
10580,"Albany-Schenectady-Troy, NY Metro Area",416079,436083,39.1,95.4,17.5,48.3,852162,3.284469385
10740,"Albuquerque, NM Metro Area",409640,421533,35.4,97.2,16.8,48.3,831173,44.51840952
10780,"Alexandria, LA Metro Area",73865,78048,36.6,94.6,12.4,49.6,151913,2.118975993
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",392343,410767,39.9,95.5,16.2,53.1,803110,10.85417938
11020,"Altoona, PA Metro Area",60600,65384,41.6,92.7,12.2,52,125984,0.730251461
11100,"Amarillo, TX Metro Area",120474,121385,33.5,99.2,14.7,49.9,241859,23.50419046
11180,"Ames, IA Metro Area",43239,41541,24.7,104.1,26.5,42.7,84780,2.107808445
11260,"Anchorage, AK Metro Area",185682,176806,32.5,105,19.3,50,362488,7.079958509
11300,"Anderson, IN Metro Area",65146,65869,39,98.9,10.5,49.2,131015,2.334083884
11340,"Anderson, SC Metro Area",86871,93043,38.9,93.4,12.1,55.2,179914,2.023188857
11460,"Ann Arbor, MI Metro Area",172526,173481,32.5,99.4,24.1,45.9,346007,3.351666296
11500,"Anniston-Oxford, AL Metro Area",53981,58988,38.1,91.5,10.4,51.2,112969,2.412166169
11540,"Appleton, WI Metro Area",109108,108906,36.7,100.2,18.3,58.7,218014,2.625060776
11700,"Asheville, NC Metro Area",193727,209237,42,92.6,17.7,54.9,402964,4.843857019
12020,"Athens-Clarke County, GA Metro Area",90997,95199,28.6,95.6,17.9,41.2,186196,6.604867989
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2584867,2654127,34.1,97.4,22.4,49.1,5238994,9.332898644
12100,"Atlantic City-Hammonton, NJ Metro Area",131130,138886,39.2,94.4,16.3,48.1,270016,14.56284072
