,data.Id2,data.Geography,fit.cluster,statedummy,Color
1,10180,"Abilene, TX Metro Area",2,1,#99d8c9
2,10420,"Akron, OH Metro Area",3,0,#2ca25f
3,10500,"Albany, GA Metro Area",2,1,#99d8c9
4,10580,"Albany-Schenectady-Troy, NY Metro Area",1,1,#e5f5f9
5,10740,"Albuquerque, NM Metro Area",1,0,#e5f5f9
6,10780,"Alexandria, LA Metro Area",3,1,#2ca25f
7,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",3,1,#2ca25f
8,11020,"Altoona, PA Metro Area",3,1,#2ca25f
9,11100,"Amarillo, TX Metro Area",2,1,#99d8c9
10,11180,"Ames, IA Metro Area",2,0,#99d8c9
11,11260,"Anchorage, AK Metro Area",1,1,#e5f5f9
12,11300,"Anderson, IN Metro Area",3,1,#2ca25f
13,11340,"Anderson, SC Metro Area",3,1,#2ca25f
14,11460,"Ann Arbor, MI Metro Area",1,0,#e5f5f9
15,11500,"Anniston-Oxford, AL Metro Area",3,1,#2ca25f
16,11540,"Appleton, WI Metro Area",1,1,#e5f5f9
17,11700,"Asheville, NC Metro Area",3,1,#2ca25f
18,12020,"Athens-Clarke County, GA Metro Area",2,1,#99d8c9
19,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1,1,#e5f5f9
20,12100,"Atlantic City-Hammonton, NJ Metro Area",3,1,#2ca25f
21,12220,"Auburn-Opelika, AL Metro Area",2,1,#99d8c9
22,12260,"Augusta-Richmond County, GA-SC Metro Area",2,1,#99d8c9
23,12420,"Austin-Round Rock, TX Metro Area",1,1,#e5f5f9
24,12540,"Bakersfield, CA Metro Area",2,0,#99d8c9
25,12580,"Baltimore-Towson, MD Metro Area",1,1,#e5f5f9
26,12620,"Bangor, ME Metro Area",3,0,#2ca25f
27,12700,"Barnstable Town, MA Metro Area",3,0,#2ca25f
28,12940,"Baton Rouge, LA Metro Area",2,1,#99d8c9
29,12980,"Battle Creek, MI Metro Area",3,0,#2ca25f
30,13020,"Bay City, MI Metro Area",3,0,#2ca25f
31,13140,"Beaumont-Port Arthur, TX Metro Area",3,1,#2ca25f
32,13380,"Bellingham, WA Metro Area",3,0,#2ca25f
33,13460,"Bend, OR Metro Area",3,0,#2ca25f
34,13740,"Billings, MT Metro Area",3,1,#2ca25f
35,13780,"Binghamton, NY Metro Area",3,1,#2ca25f
36,13820,"Birmingham-Hoover, AL Metro Area",3,1,#2ca25f
37,13900,"Bismarck, ND Metro Area",3,1,#2ca25f
38,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2,1,#99d8c9
39,14020,"Bloomington, IN Metro Area",2,1,#99d8c9
40,14060,"Bloomington-Normal, IL Metro Area",1,0,#e5f5f9
41,14260,"Boise City-Nampa, ID Metro Area",1,1,#e5f5f9
42,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1,0,#e5f5f9
43,14500,"Boulder, CO Metro Area",1,0,#e5f5f9
44,14540,"Bowling Green, KY Metro Area",2,0,#99d8c9
45,14600,"Bradenton-Sarasota-Venice, FL Metro Area",3,1,#2ca25f
46,14740,"Bremerton-Silverdale, WA Metro Area",1,0,#e5f5f9
47,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1,0,#e5f5f9
48,15180,"Brownsville-Harlingen, TX Metro Area",2,1,#99d8c9
49,15260,"Brunswick, GA Metro Area",3,1,#2ca25f
50,15380,"Buffalo-Niagara Falls, NY Metro Area",3,1,#2ca25f
51,15500,"Burlington, NC Metro Area",3,1,#2ca25f
52,15540,"Burlington-South Burlington, VT Metro Area",1,0,#e5f5f9
53,15940,"Canton-Massillon, OH Metro Area",3,0,#2ca25f
54,15980,"Cape Coral-Fort Myers, FL Metro Area",3,1,#2ca25f
55,16020,"Cape Girardeau-Jackson, MO-IL Metro Area",3,1,#2ca25f
56,16180,"Carson City, NV Metro Area",3,0,#2ca25f
57,16220,"Casper, WY Metro Area",3,1,#2ca25f
58,16300,"Cedar Rapids, IA Metro Area",1,0,#e5f5f9
59,16580,"Champaign-Urbana, IL Metro Area",2,0,#99d8c9
60,16620,"Charleston, WV Metro Area",3,1,#2ca25f
61,16700,"Charleston-North Charleston-Summerville, SC Metro Area",1,1,#e5f5f9
62,16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",1,1,#e5f5f9
63,16820,"Charlottesville, VA Metro Area",1,1,#e5f5f9
64,16860,"Chattanooga, TN-GA Metro Area",3,1,#2ca25f
65,16940,"Cheyenne, WY Metro Area",3,1,#2ca25f
66,16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",1,1,#e5f5f9
67,17020,"Chico, CA Metro Area",3,0,#2ca25f
68,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",1,1,#e5f5f9
69,17300,"Clarksville, TN-KY Metro Area",2,1,#99d8c9
70,17420,"Cleveland, TN Metro Area",3,1,#2ca25f
71,17460,"Cleveland-Elyria-Mentor, OH Metro Area",3,0,#2ca25f
72,17660,"Coeur d'Alene, ID Metro Area",3,1,#2ca25f
73,17780,"College Station-Bryan, TX Metro Area",2,1,#99d8c9
74,17820,"Colorado Springs, CO Metro Area",1,0,#e5f5f9
75,17860,"Columbia, MO Metro Area",2,1,#99d8c9
76,17900,"Columbia, SC Metro Area",1,1,#e5f5f9
77,17980,"Columbus, GA-AL Metro Area",2,1,#99d8c9
78,18020,"Columbus, IN Metro Area",3,1,#2ca25f
79,18140,"Columbus, OH Metro Area",1,0,#e5f5f9
80,18580,"Corpus Christi, TX Metro Area",2,1,#99d8c9
81,18700,"Corvallis, OR Metro Area",2,0,#99d8c9
82,19060,"Cumberland, MD-WV Metro Area",3,1,#2ca25f
83,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1,1,#e5f5f9
84,19140,"Dalton, GA Metro Area",2,1,#99d8c9
85,19180,"Danville, IL Metro Area",3,0,#2ca25f
86,19260,"Danville, VA Metro Area",3,1,#2ca25f
87,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",3,0,#2ca25f
88,19380,"Dayton, OH Metro Area",3,0,#2ca25f
89,19460,"Decatur, AL Metro Area",3,1,#2ca25f
90,19500,"Decatur, IL Metro Area",3,0,#2ca25f
91,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",3,1,#2ca25f
92,19740,"Denver-Aurora-Broomfield, CO Metro Area",1,0,#e5f5f9
93,19780,"Des Moines-West Des Moines, IA Metro Area",1,0,#e5f5f9
94,19820,"Detroit-Warren-Livonia, MI Metro Area",1,0,#e5f5f9
95,20020,"Dothan, AL Metro Area",3,1,#2ca25f
96,20100,"Dover, DE Metro Area",3,1,#2ca25f
97,20220,"Dubuque, IA Metro Area",3,0,#2ca25f
98,20260,"Duluth, MN-WI Metro Area",3,1,#2ca25f
99,20500,"Durham-Chapel Hill, NC Metro Area",1,1,#e5f5f9
100,20740,"Eau Claire, WI Metro Area",3,1,#2ca25f
101,20940,"El Centro, CA Metro Area",2,0,#99d8c9
102,21060,"Elizabethtown, KY Metro Area",3,0,#2ca25f
103,21140,"Elkhart-Goshen, IN Metro Area",2,1,#99d8c9
104,21300,"Elmira, NY Metro Area",3,1,#2ca25f
105,21340,"El Paso, TX Metro Area",2,1,#99d8c9
106,21500,"Erie, PA Metro Area",3,1,#2ca25f
107,21660,"Eugene-Springfield, OR Metro Area",3,0,#2ca25f
108,21780,"Evansville, IN-KY Metro Area",3,1,#2ca25f
109,21820,"Fairbanks, AK Metro Area",1,1,#e5f5f9
110,22020,"Fargo, ND-MN Metro Area",2,1,#99d8c9
111,22140,"Farmington, NM Metro Area",2,0,#99d8c9
112,22180,"Fayetteville, NC Metro Area",2,1,#99d8c9
113,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",2,1,#99d8c9
114,22380,"Flagstaff, AZ Metro Area",2,0,#99d8c9
115,22420,"Flint, MI Metro Area",3,0,#2ca25f
116,22500,"Florence, SC Metro Area",3,1,#2ca25f
117,22520,"Florence-Muscle Shoals, AL Metro Area",3,1,#2ca25f
118,22540,"Fond du Lac, WI Metro Area",3,1,#2ca25f
119,22660,"Fort Collins-Loveland, CO Metro Area",1,0,#e5f5f9
120,22900,"Fort Smith, AR-OK Metro Area",3,1,#2ca25f
121,23020,"Fort Walton Beach-Crestview-Destin, FL Metro Area",1,1,#e5f5f9
122,23060,"Fort Wayne, IN Metro Area",3,1,#2ca25f
123,23420,"Fresno, CA Metro Area",2,0,#99d8c9
124,23460,"Gadsden, AL Metro Area",3,1,#2ca25f
125,23540,"Gainesville, FL Metro Area",2,1,#99d8c9
126,23580,"Gainesville, GA Metro Area",2,1,#99d8c9
127,24020,"Glens Falls, NY Metro Area",3,1,#2ca25f
128,24140,"Goldsboro, NC Metro Area",2,1,#99d8c9
129,24220,"Grand Forks, ND-MN Metro Area",2,1,#99d8c9
130,24300,"Grand Junction, CO Metro Area",3,0,#2ca25f
131,24340,"Grand Rapids-Wyoming, MI Metro Area",1,0,#e5f5f9
132,24500,"Great Falls, MT Metro Area",3,1,#2ca25f
133,24540,"Greeley, CO Metro Area",1,0,#e5f5f9
134,24580,"Green Bay, WI Metro Area",1,1,#e5f5f9
135,24660,"Greensboro-High Point, NC Metro Area",3,1,#2ca25f
136,24780,"Greenville, NC Metro Area",2,1,#99d8c9
137,24860,"Greenville-Mauldin-Easley, SC Metro Area",3,1,#2ca25f
138,25060,"Gulfport-Biloxi, MS Metro Area",3,1,#2ca25f
139,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",3,1,#2ca25f
140,25260,"Hanford-Corcoran, CA Metro Area",2,0,#99d8c9
141,25420,"Harrisburg-Carlisle, PA Metro Area",3,1,#2ca25f
142,25500,"Harrisonburg, VA Metro Area",2,1,#99d8c9
