data.Id2 ,Geography,Employed; Estimate; Population 16 years and over - AGE - 16 to 19 years-2009,2008,deltaemploy
10180,"Abilene, TX Metro Area",41.7,45.3,-3.6
10420,"Akron, OH Metro Area",33.2,38.8,-5.6
10500,"Albany, GA Metro Area",23.9,34.4,-10.5
10580,"Albany-Schenectady-Troy, NY Metro Area",34.5,37,-2.5
10740,"Albuquerque, NM Metro Area",31.3,38.4,-7.1
10780,"Alexandria, LA Metro Area",27.6,34.8,-7.2
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",33.4,30.5,2.9
11020,"Altoona, PA Metro Area",25.4,31.8,-6.4
11100,"Amarillo, TX Metro Area",37.8,40.6,-2.8
11180,"Ames, IA Metro Area",36.8,50.4,-13.6
11260,"Anchorage, AK Metro Area",35.3,44,-8.7
11300,"Anderson, IN Metro Area",30.1,42.9,-12.8
11340,"Anderson, SC Metro Area",16,35.3,-19.3
11460,"Ann Arbor, MI Metro Area",23.2,26.6,-3.4
11500,"Anniston-Oxford, AL Metro Area",30.7,31.9,-1.2
11540,"Appleton, WI Metro Area",48.6,51.9,-3.3
11700,"Asheville, NC Metro Area",34.7,39.6,-4.9
12020,"Athens-Clarke County, GA Metro Area",22.9,21.4,1.5
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",23.2,27.2,-4
12100,"Atlantic City-Hammonton, NJ Metro Area",30.6,29.9,0.7
12220,"Auburn-Opelika, AL Metro Area",20.2,33.1,-12.9
12260,"Augusta-Richmond County, GA-SC Metro Area",24,27.7,-3.7
12420,"Austin-Round Rock, TX Metro Area",27.9,35,-7.1
12540,"Bakersfield, CA Metro Area",24.3,26.7,-2.4
12580,"Baltimore-Towson, MD Metro Area",31.2,36.8,-5.6
12620,"Bangor, ME Metro Area",35.4,46.2,-10.8
12700,"Barnstable Town, MA Metro Area",42,46.9,-4.9
12940,"Baton Rouge, LA Metro Area",33.4,30,3.4
12980,"Battle Creek, MI Metro Area",32.1,31.7,0.4
13020,"Bay City, MI Metro Area",41,36.5,4.5
13140,"Beaumont-Port Arthur, TX Metro Area",31.6,29.3,2.3
13380,"Bellingham, WA Metro Area",36.6,44.8,-8.2
13460,"Bend, OR Metro Area",32,35.7,-3.7
13740,"Billings, MT Metro Area",35.5,49.1,-13.6
13780,"Binghamton, NY Metro Area",27.2,33.8,-6.6
13820,"Birmingham-Hoover, AL Metro Area",28.6,32.9,-4.3
13900,"Bismarck, ND Metro Area",52.8,65.6,-12.8
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",22.9,22.4,0.5
14020,"Bloomington, IN Metro Area",23.2,25.5,-2.3
14060,"Bloomington-Normal, IL Metro Area",32,38.9,-6.9
14260,"Boise City-Nampa, ID Metro Area",30.9,38.6,-7.7
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",34.6,40.1,-5.5
14500,"Boulder, CO Metro Area",34.7,32.7,2
14540,"Bowling Green, KY Metro Area",21.5,34.6,-13.1
14600,"Bradenton-Sarasota-Venice, FL Metro Area",30.9,31.5,-0.6
14740,"Bremerton-Silverdale, WA Metro Area",21.2,35.1,-13.9
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",34.2,33.9,0.3
15180,"Brownsville-Harlingen, TX Metro Area",14.4,20.4,-6
15260,"Brunswick, GA Metro Area",23.7,19.8,3.9
15380,"Buffalo-Niagara Falls, NY Metro Area",39.4,42.9,-3.5
15500,"Burlington, NC Metro Area",43.7,36.9,6.8
15540,"Burlington-South Burlington, VT Metro Area",51.6,40,11.6
15940,"Canton-Massillon, OH Metro Area",32.6,38,-5.4
15980,"Cape Coral-Fort Myers, FL Metro Area",25,22.2,2.8
16020,"Cape Girardeau-Jackson, MO-IL Metro Area",42.1,NA,NA
16180,"Carson City, NV Metro Area",48.2,NA,NA
16220,"Casper, WY Metro Area",42.2,44,-1.8
16300,"Cedar Rapids, IA Metro Area",48.5,48.3,0.2
16580,"Champaign-Urbana, IL Metro Area",29.4,30.3,-0.9
16620,"Charleston, WV Metro Area",28.3,27.7,0.6
16700,"Charleston-North Charleston-Summerville, SC Metro Area",30.1,35.3,-5.2
16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",28.3,36.1,-7.8
